feature,clf_xgb,clf_lgbm,clf_rf,reg_xgb,reg_lgbm,reg_rf,avg_importance
dna_fft_power_high,0.013565759,48,0.007475873025615293,0.0021359061,34,0.0008785373645436125,13.670676012616724
home_q2,0.008396832,31,0.003846169856662884,0.0025554292,49,0.0006416588654019692,13.33590668170524
h1_margin,0.008006861,26,0.007083193978712576,0.0027693892,51,0.0005411102331762989,12.836400092472509
q2_margin,0.010568412,31,0.004626621973523702,0.0022496963,42,0.0007201395728726354,12.169694144976532
max_away_lead,0.0105157355,63,0.006160608714005854,0.00242671,9,0.00031322043874230026,12.003236045769528
h1_total,0.010114656,38,0.005250087254494002,0.0027707205,33,0.0008612873761961332,11.836499458496009
q3q_total,0.009987664,30,0.0051910860680568225,0.0023896613,41,0.0008593444461162812,11.836404626032069
away_q3,0.011536773,39,0.0026102230115154466,0.0026739757,30,0.0005884598384819176,11.50290157196698
dna_hurst,0.015755938,40,0.00283550820382019,0.002261021,25,0.00022834172305532944,10.836846801539098
lead_range,0.0136088515,22,0.012358346894379443,0.0029362503,41,0.0005173237397484243,10.504903462066922
home_q1,0.00954174,34,0.004863579576914446,0.0020882492,29,0.00043643591515755146,10.502821667399518
dna_run_length_max,0.007038651,29,0.0015287173118347195,0.0029214849,34,0.00033366272004868407,10.501970419323756
q3_lead_growth,0.010889887,22,0.004352228695553657,0.0022071416,34,0.0005416399323754274,9.336331816184794
ties_count,0.011618213,23,0.003736009847388961,0.0019488521,33,0.0004368939623510812,9.336289994783085
max_home_lead,0.010861582,38,0.008611153978041776,0.0024571777,16,0.00038483418782416846,9.003719124670125
halftime_lead,0.010913366,20,0.0059183936552266656,0.0029623532,24,0.00033076302006629366,7.336687479383465
avg_quarter_pace,0.01038048,21,0.005700455344136075,0.0028089392,19,0.00019489868283406204,6.6698474622775565
q3_margin,0.010514302,23,0.004615426187565546,0.0020608339,17,0.00027810366686143497,6.669578110981064
lead_changes,0.009870096,15,0.0034814686671370597,0.002327874,14,8.849864753418314e-05,4.835961322915753
sp_q3_late_away_pts,0.01068158,14,0.00298300859536338,0.001807953,9,0.0006455404363773511,3.83601968030846
ta_macd_signal,0.010870852,6,0.006493027805423593,0.0027925498,7,0.00043470295314404175,2.1700985220200204
scoring_rate,0.014999639,7,0.004061463515250309,0.0,6,0.00019952185870976335,2.1698767707694744
regime_competitive,0.0072459583,1,0.003906122507285579,0.0068503534,3,4.6451852088223906e-05,0.6696748143530963
